plate_well,plate,well
IVL_Plate_v3_96cassettes_ABformat_0001|1,IVL_Plate_v3_96cassettes_ABformat_0001,1
IVL_Plate_v3_96cassettes_ABformat_0001|10,IVL_Plate_v3_96cassettes_ABformat_0001,10
IVL_Plate_v3_96cassettes_ABformat_0001|11,IVL_Plate_v3_96cassettes_ABformat_0001,11
IVL_Plate_v3_96cassettes_ABformat_0001|12,IVL_Plate_v3_96cassettes_ABformat_0001,12
IVL_Plate_v3_96cassettes_ABformat_0001|13,IVL_Plate_v3_96cassettes_ABformat_0001,13
IVL_Plate_v3_96cassettes_ABformat_0001|14,IVL_Plate_v3_96cassettes_ABformat_0001,14
IVL_Plate_v3_96cassettes_ABformat_0001|15,IVL_Plate_v3_96cassettes_ABformat_0001,15
IVL_Plate_v3_96cassettes_ABformat_0001|16,IVL_Plate_v3_96cassettes_ABformat_0001,16
IVL_Plate_v3_96cassettes_ABformat_0001|17,IVL_Plate_v3_96cassettes_ABformat_0001,17
IVL_Plate_v3_96cassettes_ABformat_0001|18,IVL_Plate_v3_96cassettes_ABformat_0001,18
IVL_Plate_v3_96cassettes_ABformat_0001|19,IVL_Plate_v3_96cassettes_ABformat_0001,19
IVL_Plate_v3_96cassettes_ABformat_0001|2,IVL_Plate_v3_96cassettes_ABformat_0001,2
IVL_Plate_v3_96cassettes_ABformat_0001|20,IVL_Plate_v3_96cassettes_ABformat_0001,20
IVL_Plate_v3_96cassettes_ABformat_0001|21,IVL_Plate_v3_96cassettes_ABformat_0001,21
IVL_Plate_v3_96cassettes_ABformat_0001|22,IVL_Plate_v3_96cassettes_ABformat_0001,22
IVL_Plate_v3_96cassettes_ABformat_0001|23,IVL_Plate_v3_96cassettes_ABformat_0001,23
IVL_Plate_v3_96cassettes_ABformat_0001|24,IVL_Plate_v3_96cassettes_ABformat_0001,24
IVL_Plate_v3_96cassettes_ABformat_0001|25,IVL_Plate_v3_96cassettes_ABformat_0001,25
IVL_Plate_v3_96cassettes_ABformat_0001|26,IVL_Plate_v3_96cassettes_ABformat_0001,26
IVL_Plate_v3_96cassettes_ABformat_0001|27,IVL_Plate_v3_96cassettes_ABformat_0001,27
IVL_Plate_v3_96cassettes_ABformat_0001|28,IVL_Plate_v3_96cassettes_ABformat_0001,28
IVL_Plate_v3_96cassettes_ABformat_0001|29,IVL_Plate_v3_96cassettes_ABformat_0001,29
IVL_Plate_v3_96cassettes_ABformat_0001|3,IVL_Plate_v3_96cassettes_ABformat_0001,3
IVL_Plate_v3_96cassettes_ABformat_0001|30,IVL_Plate_v3_96cassettes_ABformat_0001,30
IVL_Plate_v3_96cassettes_ABformat_0001|31,IVL_Plate_v3_96cassettes_ABformat_0001,31
IVL_Plate_v3_96cassettes_ABformat_0001|32,IVL_Plate_v3_96cassettes_ABformat_0001,32
IVL_Plate_v3_96cassettes_ABformat_0001|33,IVL_Plate_v3_96cassettes_ABformat_0001,33
IVL_Plate_v3_96cassettes_ABformat_0001|34,IVL_Plate_v3_96cassettes_ABformat_0001,34
IVL_Plate_v3_96cassettes_ABformat_0001|35,IVL_Plate_v3_96cassettes_ABformat_0001,35
IVL_Plate_v3_96cassettes_ABformat_0001|36,IVL_Plate_v3_96cassettes_ABformat_0001,36
IVL_Plate_v3_96cassettes_ABformat_0001|37,IVL_Plate_v3_96cassettes_ABformat_0001,37
IVL_Plate_v3_96cassettes_ABformat_0001|38,IVL_Plate_v3_96cassettes_ABformat_0001,38
IVL_Plate_v3_96cassettes_ABformat_0001|39,IVL_Plate_v3_96cassettes_ABformat_0001,39
IVL_Plate_v3_96cassettes_ABformat_0001|4,IVL_Plate_v3_96cassettes_ABformat_0001,4
IVL_Plate_v3_96cassettes_ABformat_0001|40,IVL_Plate_v3_96cassettes_ABformat_0001,40
IVL_Plate_v3_96cassettes_ABformat_0001|41,IVL_Plate_v3_96cassettes_ABformat_0001,41
IVL_Plate_v3_96cassettes_ABformat_0001|42,IVL_Plate_v3_96cassettes_ABformat_0001,42
IVL_Plate_v3_96cassettes_ABformat_0001|43,IVL_Plate_v3_96cassettes_ABformat_0001,43
IVL_Plate_v3_96cassettes_ABformat_0001|44,IVL_Plate_v3_96cassettes_ABformat_0001,44
IVL_Plate_v3_96cassettes_ABformat_0001|45,IVL_Plate_v3_96cassettes_ABformat_0001,45
IVL_Plate_v3_96cassettes_ABformat_0001|46,IVL_Plate_v3_96cassettes_ABformat_0001,46
IVL_Plate_v3_96cassettes_ABformat_0001|47,IVL_Plate_v3_96cassettes_ABformat_0001,47
IVL_Plate_v3_96cassettes_ABformat_0001|48,IVL_Plate_v3_96cassettes_ABformat_0001,48
IVL_Plate_v3_96cassettes_ABformat_0001|49,IVL_Plate_v3_96cassettes_ABformat_0001,49
IVL_Plate_v3_96cassettes_ABformat_0001|5,IVL_Plate_v3_96cassettes_ABformat_0001,5
IVL_Plate_v3_96cassettes_ABformat_0001|50,IVL_Plate_v3_96cassettes_ABformat_0001,50
IVL_Plate_v3_96cassettes_ABformat_0001|51,IVL_Plate_v3_96cassettes_ABformat_0001,51
IVL_Plate_v3_96cassettes_ABformat_0001|52,IVL_Plate_v3_96cassettes_ABformat_0001,52
IVL_Plate_v3_96cassettes_ABformat_0001|53,IVL_Plate_v3_96cassettes_ABformat_0001,53
IVL_Plate_v3_96cassettes_ABformat_0001|54,IVL_Plate_v3_96cassettes_ABformat_0001,54
IVL_Plate_v3_96cassettes_ABformat_0001|55,IVL_Plate_v3_96cassettes_ABformat_0001,55
IVL_Plate_v3_96cassettes_ABformat_0001|56,IVL_Plate_v3_96cassettes_ABformat_0001,56
IVL_Plate_v3_96cassettes_ABformat_0001|57,IVL_Plate_v3_96cassettes_ABformat_0001,57
IVL_Plate_v3_96cassettes_ABformat_0001|58,IVL_Plate_v3_96cassettes_ABformat_0001,58
IVL_Plate_v3_96cassettes_ABformat_0001|59,IVL_Plate_v3_96cassettes_ABformat_0001,59
IVL_Plate_v3_96cassettes_ABformat_0001|6,IVL_Plate_v3_96cassettes_ABformat_0001,6
IVL_Plate_v3_96cassettes_ABformat_0001|60,IVL_Plate_v3_96cassettes_ABformat_0001,60
IVL_Plate_v3_96cassettes_ABformat_0001|61,IVL_Plate_v3_96cassettes_ABformat_0001,61
IVL_Plate_v3_96cassettes_ABformat_0001|62,IVL_Plate_v3_96cassettes_ABformat_0001,62
IVL_Plate_v3_96cassettes_ABformat_0001|63,IVL_Plate_v3_96cassettes_ABformat_0001,63
IVL_Plate_v3_96cassettes_ABformat_0001|64,IVL_Plate_v3_96cassettes_ABformat_0001,64
IVL_Plate_v3_96cassettes_ABformat_0001|65,IVL_Plate_v3_96cassettes_ABformat_0001,65
IVL_Plate_v3_96cassettes_ABformat_0001|66,IVL_Plate_v3_96cassettes_ABformat_0001,66
IVL_Plate_v3_96cassettes_ABformat_0001|67,IVL_Plate_v3_96cassettes_ABformat_0001,67
IVL_Plate_v3_96cassettes_ABformat_0001|68,IVL_Plate_v3_96cassettes_ABformat_0001,68
IVL_Plate_v3_96cassettes_ABformat_0001|69,IVL_Plate_v3_96cassettes_ABformat_0001,69
IVL_Plate_v3_96cassettes_ABformat_0001|7,IVL_Plate_v3_96cassettes_ABformat_0001,7
IVL_Plate_v3_96cassettes_ABformat_0001|70,IVL_Plate_v3_96cassettes_ABformat_0001,70
IVL_Plate_v3_96cassettes_ABformat_0001|71,IVL_Plate_v3_96cassettes_ABformat_0001,71
IVL_Plate_v3_96cassettes_ABformat_0001|72,IVL_Plate_v3_96cassettes_ABformat_0001,72
IVL_Plate_v3_96cassettes_ABformat_0001|73,IVL_Plate_v3_96cassettes_ABformat_0001,73
IVL_Plate_v3_96cassettes_ABformat_0001|74,IVL_Plate_v3_96cassettes_ABformat_0001,74
IVL_Plate_v3_96cassettes_ABformat_0001|75,IVL_Plate_v3_96cassettes_ABformat_0001,75
IVL_Plate_v3_96cassettes_ABformat_0001|76,IVL_Plate_v3_96cassettes_ABformat_0001,76
IVL_Plate_v3_96cassettes_ABformat_0001|77,IVL_Plate_v3_96cassettes_ABformat_0001,77
IVL_Plate_v3_96cassettes_ABformat_0001|78,IVL_Plate_v3_96cassettes_ABformat_0001,78
IVL_Plate_v3_96cassettes_ABformat_0001|79,IVL_Plate_v3_96cassettes_ABformat_0001,79
IVL_Plate_v3_96cassettes_ABformat_0001|8,IVL_Plate_v3_96cassettes_ABformat_0001,8
IVL_Plate_v3_96cassettes_ABformat_0001|80,IVL_Plate_v3_96cassettes_ABformat_0001,80
IVL_Plate_v3_96cassettes_ABformat_0001|9,IVL_Plate_v3_96cassettes_ABformat_0001,9
ivl_1_flat_v1_0001|1,ivl_1_flat_v1_0001,1
ivl_384_flat_v1_0001|1,ivl_384_flat_v1_0001,1
ivl_384_flat_v1_0001|3,ivl_384_flat_v1_0001,3
ivl_384_flat_v1_0001|5,ivl_384_flat_v1_0001,5
ivl_384_flat_v1_0001|7,ivl_384_flat_v1_0001,7
ivl_96_dw_v1_0001|1,ivl_96_dw_v1_0001,1
ivl_96_dw_v1_0001|10,ivl_96_dw_v1_0001,10
ivl_96_dw_v1_0001|11,ivl_96_dw_v1_0001,11
ivl_96_dw_v1_0001|12,ivl_96_dw_v1_0001,12
